Evaluation,Peak_Force_N
1,1017.9972353605825
2,1019.7562757926949
3,1022.1343889830613
4,1028.7156854846246
5,1021.2803712205404
6,1028.6384405448248
7,1029.2891727910512
8,1026.8883092786332
9,1024.12124499231
10,1018.937685137681
11,1021.7095745696953
12,1021.2594467931833
13,1021.729907220232
14,1027.0632403588584
15,1027.2244023601168
16,1021.3993781237059
17,1022.449802676161
18,1027.6823469579979
19,1022.5429751541327
20,1022.1671887717589
21,1022.6189167343639
22,1021.9037164400323
23,1029.0142252748085
24,1022.2151368112413
25,1029.9884036613885
26,1020.1579224990573
27,1027.7616418530704
28,1023.4885752918702
29,1028.5432062034317
30,1026.7553924283372
31,1023.582863836365
32,1025.8782075851857
33,1017.1580129658863
34,1019.9769045512675
35,1017.5812784420465
36,1019.2043009176211
37,1019.2043009176211
38,1021.7657090416006
39,1022.2133869814933
40,1021.7484613533877
41,1025.0560034206078
42,1024.9530325940373
43,1021.9547562288566
44,1020.7649718541529
45,1022.4418555837692
46,1025.05273073454
47,1025.5695491643503
48,1025.5971365525013
49,1020.2043310488951
50,1021.2124196478921
51,1021.7484613533877
52,1022.6463427588981
53,1020.9464967608748
54,1027.4192887267081
55,1022.5159956834483
56,1023.771094139179
57,1021.9373785445686
58,1017.5812784420465
59,1024.9367867235821
60,1022.5429751541327
61,1024.5937831735168
62,1021.9391373386093
63,1023.9091422456418
64,1021.3051632048224
65,1023.0659693415473
66,1026.143868369784
67,1027.6621363916847
68,1028.5019039096553
69,1023.4833504783616
70,1017.5406525069918
71,1024.6230507781743
72,1024.12124499231
73,1024.1744256525124
74,1017.1580129658863
75,1023.691892063535
76,1024.7786192209169
77,1024.9530325940373
78,1022.2879761707393
79,1023.6299296777382
80,1018.8351283132647
81,1026.6453653276985
82,1019.8258216265698
83,1022.8796465254203
84,1020.8186681784468
85,1027.4598265135787
86,1018.2108202313707
87,1026.234600086915
88,1017.1580129658863
89,1026.8954655449961
90,1027.8279491582111
91,1022.1303989827727
92,1017.5812784420465
93,1019.8381497604038
94,1017.1580129658863
95,1023.1037229066707
96,1023.8605412990298
97,1026.1299748704268
98,1027.9632400231608
99,1019.4296483535271
100,1027.5385368077227
101,1019.8258216265698
102,1022.967936085655
103,1020.2043310488951
