Evaluation,Peak_Force_N
1,1028.6026443434996
2,1023.10366555925
3,1022.9539353196858
4,1028.9622367341246
5,1016.4204662319531
6,1027.4416738241516
7,1020.2928181260872
8,1029.6780162153138
9,1023.0208807798105
10,1021.098659160838
11,1025.6984057530358
12,1018.289199166388
13,1018.7036440134859
14,1026.170428888888
15,1019.9484424977354
16,1019.1002207957874
17,1024.8611512140196
18,1022.8603469858853
19,1020.9485462203208
20,1020.5143157173421
21,1026.6764113129846
22,1024.8071875733267
23,1026.7374973145104
24,1025.1603267644057
25,1026.4092117084415
26,1022.5093586047145
27,1024.056590934879
28,1014.6126055706509
29,1022.3154023392492
30,1025.9411996917381
31,1024.893131736856
32,1022.4254342662107
33,1021.8139385625573
34,1024.82667885699
35,1023.2987886855243
36,1021.3587935967407
37,1026.3652340961992
38,1026.5654950353423
39,1020.5905827056479
40,1024.1857083004243
41,1028.2438881568671
42,1017.7452694541905
43,1024.4660048741646
44,1020.171054485465
45,1028.495921552489
46,1028.4721007289852
47,1024.630041281133
48,1027.1227735819305
49,1016.9952467369274
50,1023.1258652485109
51,1018.5131497525072
52,1023.3649468564129
53,1022.3775489709881
54,1019.9641104033275
55,1022.3821987709256
56,1021.7868906722657
57,1018.2643092835885
58,1016.4912442110015
59,1020.4150080592979
60,1026.7957672654088
61,1025.5251020002422
62,1017.7948117086717
63,1021.8245669396548
64,1027.3489479355314
65,1027.7196319595346
66,1026.8990202746804
67,1026.6095591287567
68,1017.5148816701989
69,1024.299865562362
70,1022.008011619215
71,1025.1555694468743
72,1016.5994544722477
73,1021.043662726996
74,1025.0561389547472
75,1022.9545500913441
76,1022.5175208446049
77,1020.3195686954629
78,1022.3589567852033
79,1018.2251212550045
80,1016.9706803774571
81,1022.0393627469036
82,1026.3620607166451
83,1019.4312326151268
84,1024.735150983102
85,1025.7205947421708
86,1018.5350347521968
87,1023.1908593504504
88,1026.758918773889
89,1023.7211084951488
90,1022.9554574793373
91,1020.100449389185
92,1024.103982254506
93,1024.1568472444774
94,1019.2754300477246
95,1022.0790882659653
96,1021.721588394042
97,1025.2921289921499
98,1024.288245229208
99,1019.9545558659825
100,1018.8173661453862
