Evaluation,Peak_Force_N
1,1028.6026443434996
2,1023.10366555925
3,1022.9539353196858
4,1028.9622367341246
5,1016.4204662319531
6,1027.4416738241516
7,1020.2928181260872
8,1029.6780162153138
9,1023.0208807798105
10,1021.098659160838
11,1025.6984057530358
12,1018.289199166388
13,1018.7036440134859
14,1026.170428888888
15,1019.9484424977354
16,1019.1002207957874
17,1024.8611512140196
18,1022.8603469858853
19,1020.9485462203208
20,1020.5143157173421
21,1026.6764113129846
22,1024.8071875733267
23,1026.7374973145104
24,1025.1603267644057
25,1026.4092117084415
26,1022.5093586047145
27,1024.056590934879
28,1014.6126055706509
29,1022.3154023392492
30,1025.9411996917381
31,1024.893131736856
32,1022.4254342662107
33,1021.8139385625573
34,1024.82667885699
35,1023.2987886855243
36,1021.3587935967407
37,1026.3652340961992
38,1026.5654950353423
39,1020.5905827056479
40,1024.1857083004243
41,1028.2438881568671
42,1017.7452694541905
43,1024.4660048741646
44,1020.171054485465
45,1028.043035048601
46,1020.7331069274986
47,1020.9246536396884
48,1019.9995426730051
49,1017.1316536954398
50,1028.4006096061803
51,1021.972217383855
52,1024.3247337367839
53,1016.7907380771384
54,1018.2106860355402
55,1019.7923584293841
56,1019.6315680603648
57,1017.4253414299884
58,1022.8752344263598
59,1016.0069453688577
60,1018.8064585570669
61,1022.3749430041788
62,1020.9723455634647
63,1019.8534182506006
64,1020.4528458043407
65,1016.6638488036929
66,1020.135094741374
67,1016.051309511299
68,1019.8534182506006
69,1018.8749027167028
70,1019.0341283466746
71,1023.6963573231931
72,1017.2131136811291
73,1023.0298729842285
74,1021.0585273592167
75,1019.8836457654705
76,1024.206787687876
77,1020.9089845869719
78,1016.0883552047591
79,1019.1067027437264
80,1020.2768014493298
81,1014.6779000609067
82,1017.6504048204977
83,1016.6915638758829
84,1025.1316613137033
85,1019.1846628966757
86,1022.3753180578453
87,1017.4013145969208
88,1017.6021649242272
89,1022.1685513851012
90,1024.3916254036271
91,1019.7434416873808
92,1020.5958047164543
93,1018.4778002875984
94,1015.9582507686025
95,1019.4468881831094
96,1017.9603526078799
97,1019.3259601834854
98,1019.0246703152299
99,1015.828801512456
100,1019.5179599159214
