Evaluation,Peak_Force_N
1,1028.6026443434996
2,1023.10366555925
3,1022.9539353196858
4,1028.9622367341246
5,1016.4204662319531
6,1027.4416738241516
7,1020.2928181260872
8,1029.6780162153138
9,1023.0208807798105
10,1021.098659160838
11,1025.6984057530358
12,1018.289199166388
13,1018.7036440134859
14,1026.170428888888
15,1019.9484424977354
16,1019.1002207957874
17,1024.8611512140196
18,1022.8603469858853
19,1020.9485462203208
20,1020.5143157173421
21,1026.6764113129846
22,1024.8071875733267
23,1026.7374973145104
24,1025.1603267644057
25,1026.4092117084415
26,1022.5093586047145
27,1024.056590934879
28,1014.6126055706509
29,1022.3154023392492
30,1025.9411996917381
31,1024.893131736856
32,1022.4254342662107
33,1021.8139385625573
34,1024.82667885699
35,1023.2987886855243
36,1021.3587935967407
37,1026.3652340961992
38,1026.5654950353423
39,1020.5905827056479
40,1024.1857083004243
41,1028.2438881568671
42,1017.7452694541905
43,1024.4660048741646
44,1020.171054485465
45,1018.5781498301965
46,1021.3481358074879
47,1018.0313290168257
48,1019.1267468347656
49,1016.2574401877703
50,1021.2246896967292
51,1023.7925251070284
52,1022.497790824635
53,1017.3333521962556
54,1019.7074926847816
55,1019.7010727378225
56,1024.1164511991865
57,1018.4415507446389
58,1021.5060383070021
59,1018.0182520141569
60,1018.0877552315867
61,1015.5015173503534
62,1023.3528880468241
63,1018.3396608833609
64,1018.678777652215
65,1016.4469069501026
66,1020.1280667184535
67,1019.9979958138559
68,1020.4851859619047
69,1023.9085886418095
70,1024.1178723968717
71,1021.7059824366488
72,1024.7501754936407
73,1024.8032550457503
74,1022.279585849647
75,1024.370125044445
76,1017.579176155105
77,1022.521171183906
78,1024.5646301656625
79,1023.000305640103
80,1022.8924234422026
81,1022.901779919815
82,1020.4480481425192
83,1020.4630287785044
84,1024.1744527575838
85,1024.0185791472434
86,1021.3000014761486
87,1025.67096918692
88,1025.5705574174983
89,1018.151707486603
90,1018.3869858524189
91,1019.926266922587
92,1020.1451309102247
93,1020.3525093012968
94,1019.7983319797543
95,1018.4858313566099
96,1016.8808936535997
97,1027.6193026634703
98,1019.9826530135232
99,1017.5217500593242
100,1018.8330980088972
