Evaluation,Peak_Force_N
1,1028.6026443434996
2,1023.10366555925
3,1022.9539353196858
4,1028.9622367341246
5,1016.4204662319531
6,1027.4416738241516
7,1020.2928181260872
8,1029.6780162153138
9,1023.0208807798105
10,1021.098659160838
11,1025.6984057530358
12,1018.289199166388
13,1018.7036440134859
14,1026.170428888888
15,1019.9484424977354
16,1019.1002207957874
17,1024.8611512140196
18,1022.8603469858853
19,1020.9485462203208
20,1020.5143157173421
21,1026.6764113129846
22,1024.8071875733267
23,1026.7374973145104
24,1025.1603267644057
25,1026.4092117084415
26,1022.5093586047145
27,1024.056590934879
28,1014.6126055706509
29,1022.3154023392492
30,1025.9411996917381
31,1024.893131736856
32,1022.4254342662107
33,1021.8139385625573
34,1024.82667885699
35,1023.2987886855243
36,1021.3587935967407
37,1026.3652340961992
38,1026.5654950353423
39,1020.5905827056479
40,1024.1857083004243
41,1028.2438881568671
42,1017.7452694541905
43,1024.4660048741646
44,1020.171054485465
45,1019.8109762465836
46,1017.7683203845967
47,1016.7329843748821
48,1015.539154171478
49,1016.7483187200338
50,1014.4118366372749
51,1020.935343125814
52,1015.2110369121779
53,1014.6126055706509
54,1014.6126055706509
55,1015.9286754901023
56,1017.7619456115771
57,1015.7270067006666
58,1018.5746998220154
59,1019.0547408286499
60,1015.1051809284766
61,1016.0630240232733
62,1016.0760007761696
63,1016.1217830415368
64,1019.4526757517563
65,1019.9061721215577
66,1017.2235039621459
67,1018.4951446435297
68,1014.9403442032465
69,1016.5132645332553
70,1021.0522118877715
71,1014.7163225097142
72,1014.6126055706509
73,1016.5974203241806
74,1016.8234061236609
75,1016.94478359842
76,1016.2574401877703
77,1018.7152576483833
78,1019.1166286700121
79,1015.7788895516613
80,1019.2162580339314
81,1021.5153661943209
82,1014.6126055706509
83,1016.1995872151235
84,1019.7383103870243
85,1018.9926653052496
86,1014.6126055706509
87,1014.7347056071737
88,1015.1051809284766
89,1015.9567419301334
90,1018.3575507131151
91,1020.8270593590223
92,1017.8815090375602
93,1019.7701614432339
94,1019.723640956234
95,1021.820872210456
96,1018.5914977636319
97,1018.9735919002807
98,1018.7814226034992
99,1018.220605545323
100,1017.8354259287671
