Evaluation,Peak_Force_N
1,1016.2899117517559
2,1017.365750484438
3,1016.4109833009019
4,1018.1998386664409
5,1016.5415490864935
6,1019.2878236052642
7,1017.553250436846
8,1016.7023706220525
9,1015.9745317962753
10,1017.5561193686904
11,1017.1665022784814
12,1016.5637423893834
13,1016.2716894070888
14,1016.5846770092476
15,1016.5253159028914
16,1016.6853107131861
17,1017.5872446262958
18,1015.375181915109
19,1016.2349631366524
20,1014.117502030767
21,1015.06514181117
22,1014.6304424331493
23,1015.759549317515
24,1017.5505721110371
25,1014.3120884629657
26,1015.688949055239
27,1014.4934613013046
28,1014.5367644340355
29,1014.5657572053647
30,1014.4779241180606
31,1014.8823783973752
32,1015.2035495794892
33,1017.2035137907612
34,1014.6980264552644
35,1014.4779241180606
36,1015.0048954340584
37,1016.1009375689664
38,1014.4826595234593
39,1014.4826595234593
40,1015.2148819493784
41,1014.2805506754399
42,1013.8036733040581
43,1014.6250541003905
44,1014.3080982090491
45,1014.901583279566
46,1013.6950643319918
47,1014.7888956829767
48,1014.0352875138321
49,1014.0393379053336
50,1014.4246928861289
51,1014.153320574308
52,1014.5437499206398
53,1014.5490585001008
54,1014.4297781228279
55,1014.9373686339593
56,1015.9301147141869
57,1013.7273199106849
58,1014.1468876260847
59,1014.9730117023885
60,1014.543608164129
61,1013.7273199106849
62,1013.8161208264604
63,1014.384372212157
64,1013.8161208264604
65,1014.1496409573796
66,1015.3951619325153
67,1013.7603672043697
68,1014.4106268581178
69,1013.7603672043697
70,1013.607145050097
71,1013.2368753434379
72,1013.2368753434379
73,1014.155273746706
74,1014.1753194462877
75,1013.2368753434379
76,1013.7910656638198
77,1013.6756689906383
78,1013.4218429672612
79,1013.4218429672612
80,1014.2522834760947
81,1013.6083330817974
82,1013.5720879699769
83,1013.4218429672612
84,1013.5205350438273
85,1014.3620364829312
86,1013.1480261590807
87,1013.5205350438273
88,1013.5205350438273
89,1012.985682447747
90,1013.5832792075715
91,1013.9492516549716
92,1013.6084755749926
93,1013.2142371708238
94,1013.2142371708238
95,1013.7623411293962
96,1013.9900400034008
97,1013.9900400034008
98,1014.192892688359
99,1013.9608523699203
100,1013.9900400034008
101,1014.4589660396518
