Evaluation,Peak_Force_N
1,2391.5307030391846
2,2514.7553355788364
3,2769.034938638848
4,1497.8867334973704
5,2230.5394112021904
6,1706.4940552719356
7,2674.1149214919337
8,3778.420161055221
9,3291.566380518928
10,2314.569925622741
11,4125.964608818238
12,3107.5343976362533
13,3393.1058177793193
14,4826.285528797006
15,2953.647286598238
16,2514.1454512055425
17,3364.4724130356
18,3304.0337275566294
19,3343.9386976462683
20,3711.023321311661
21,3848.4018291181787
22,5075.348349809884
23,5382.752486653037
24,4520.116593463421
25,4166.326791979977
26,1988.191437787322
27,1996.8899959629753
28,3734.1496833746996
29,2479.202830299903
30,2517.081752373911
31,3271.856931842007
32,3103.32397848836
33,3233.1081611490026
34,2059.935608929207
35,3339.7927555385136
36,3477.686766851215
37,3698.3606997746083
38,2765.9579490848914
39,1784.2564295844538
40,3184.3805415183906
41,3204.301709167352
42,2482.6706754550146
43,2988.2213069407744
44,2334.3139911464855
45,2439.177069683626
46,3000.7861844597896
47,1581.008916397696
48,1581.008916397696
49,1581.008916397696
50,2959.2765625775382
51,3697.1995283623164
52,2441.2096121619943
53,3318.1895367068855
54,3216.843826294794
55,2737.5316181198536
56,3874.5383966923614
57,3518.715414869799
58,2246.3809250768495
59,3291.566380518928
60,3224.9454227864107
61,3188.1201197742676
62,4061.796838442896
63,2622.635667556608
64,2551.456753187992
65,1523.1458362911058
66,3837.1054802400863
67,4018.1595137732775
68,4780.668064406265
69,2902.166249107161
70,3580.1553675918854
71,2777.213735869157
72,2818.8097910436286
73,2437.981271697227
74,2517.0200013181257
75,3287.0514489152474
76,3273.5640173225793
77,1524.2466135278944
78,2354.2869878802603
79,3776.174834704889
80,3103.32397848836
81,4908.133337554536
82,5203.566626795003
83,3474.880240275368
84,4380.680823757043
85,3527.284034502369
86,2952.7489763310437
87,2960.964957444068
88,1755.1525129171457
89,3857.014620828513
90,3318.825528938872
91,2944.2735602216753
92,2020.5716336192288
93,1781.3990226303629
94,1673.0516399671365
95,3905.056523088189
96,4134.959444295971
97,3419.6660873997535
98,3771.903069425601
99,3343.8538537323707
100,2298.1670289208773
101,3195.865109878907
102,5718.044086677832
