Evaluation,Peak_Force_N
1,2911.485476230965
2,2778.223780668526
3,4196.585432560923
4,1686.1568242373894
5,3349.3690400260616
6,3543.662282553605
7,3150.8981669801938
8,1829.7601521585923
9,3081.5245683588287
10,3024.396813357296
11,2228.631485517659
12,3398.0909446497817
13,4305.114791968292
14,2432.5074707100753
15,3746.606278603976
16,2797.144303933015
17,2655.9056733856837
18,2955.01177223429
19,2600.8442661231234
20,3767.4761348370953
21,2471.813618471653
22,3943.9663609039026
23,2433.934398498273
24,4081.1712100507534
25,3738.3846013115526
26,5503.365201985145
27,4056.5580169790624
28,5011.672157060232
29,3395.605264438935
30,3733.1325086183124
31,3367.260524460573
32,3430.75769730779
33,5870.07289055714
34,3682.188950644897
35,3058.799330508908
36,5746.990100840492
37,3460.205120632829
38,2298.6546554073375
39,3005.4016304388365
40,3345.337280065175
41,3806.264954997355
42,4675.874442023119
43,2851.0203436013285
44,4904.01794822101
45,1830.5690046892832
46,3361.555375542457
47,3838.3076414000207
48,4158.507417217027
49,4900.153116374968
50,3128.856375822018
51,4189.604361674053
52,3287.2490212013113
53,3163.1102112569906
54,3574.6914175729316
55,2313.4333986966726
56,2476.762150239595
57,3173.0130644035007
58,1995.411650015102
59,2482.3284598344812
60,3264.4557772181233
61,5102.749255154146
62,3601.485739890956
63,3343.3102393552167
64,3294.311669688734
65,1668.3731918003807
66,3429.076882316673
67,2628.2851274694153
68,1757.8308512733836
69,3396.7535833458205
70,2840.1420286886064
71,3865.0370358951927
72,1677.7287220147894
73,2785.650827116253
74,1756.1388729603339
75,3363.0816374730657
76,2748.6660678971402
77,2143.6715579808097
78,2579.4454991841567
79,4065.1025414103415
80,3456.2476052262346
81,1930.517827637026
82,3416.07139018666
83,2776.800928772783
84,2509.9240838641235
85,1672.819998165615
86,3120.1646359609267
87,3490.1198297905826
88,1648.9319725632688
89,1991.6814549382395
90,2436.0175521452256
91,1827.0941975801477
92,2266.1945143526837
93,1671.78059422172
94,3701.0400529580975
95,2134.894983955744
96,1797.983422591148
97,2322.673411247431
98,2822.93565424081
99,3907.0319590486506
100,3711.929015163908
