Evaluation,Peak_Force_N
1,3025.8864332567123
2,5606.33988745322
3,3041.517993334332
4,3278.8412957202745
5,3138.253986799888
6,3376.865862702582
7,3116.2703343621088
8,3035.5358979933862
9,5521.9214935726595
10,3475.596706317706
11,3312.8568543826914
12,4238.826854334828
13,5562.5361028024445
14,3408.949172507166
15,5553.9371495994155
16,5554.860237887843
17,3132.4979550230546
18,3020.9072205403136
19,3180.696308095198
20,4289.115200556718
21,3134.0946019007797
22,3867.7129071584914
23,5246.0221202823905
24,4207.739587456026
25,5269.864459447161
26,3130.8599888466624
27,3320.1956135818327
28,4354.807452409994
29,5381.563559358301
30,5462.556008656521
31,4207.739587456026
32,5329.188047633323
33,3018.6873881137467
34,5517.950229987671
35,3012.4275572635925
36,3012.4275572635925
37,3250.821552125439
38,5358.0571554903545
39,3009.9037988428804
40,3012.157172159697
41,3084.2100235000244
42,3009.9037988428804
43,3283.3843304574307
44,3033.3448597989773
45,3289.077429795475
46,3128.937995042288
47,3132.8616707075325
48,3278.4887260540927
49,3319.308280289744
50,3130.44005271765
51,3013.916814759532
52,3254.225074472949
53,3303.5770105319402
54,3016.680770321649
55,3254.057912241744
56,3303.328606683225
57,3284.3898260554633
58,3389.029773258795
59,3177.431380534138
60,3011.136856554831
61,3250.821552125439
62,3082.973472136942
63,3028.141803103104
64,3085.9873982796635
65,3284.275298590548
66,3261.0550788630544
67,3116.1435719352567
68,3333.321659155339
69,3386.3265449927612
70,3028.782119573595
71,3041.517993334332
72,3082.6940609299236
73,3093.199007372515
74,3319.1897037623457
75,3029.397915114529
76,3132.4979550230546
77,3009.9037988428804
78,3022.3160868573705
79,3033.367815203315
80,3026.150716252061
81,3023.089551988817
82,3158.0113944799937
83,3011.136856554831
84,3086.8994911265636
85,5483.652294369337
86,3259.68893228436
87,3256.4049874358884
88,3084.2401711597263
89,3028.782119573595
90,3027.6283018362687
91,3014.307807197284
92,3014.308612386715
93,3344.1046981672703
94,3008.121523198519
95,3031.2496595119574
96,2912.7611969202208
97,2936.1631189401646
98,2931.6803314756526
99,5344.731882855734
100,2931.8699656066556
101,5307.5796576262655
