Evaluation,Peak_Force_N
1,2911.485476230965
2,2778.223780668526
3,4196.585432560923
4,1686.1568242373894
5,3349.3690400260616
6,3543.662282553605
7,3150.8981669801938
8,1829.7601521585923
9,3081.5245683588287
10,3024.396813357296
11,2228.631485517659
12,3398.0909446497817
13,4305.114791968292
14,2432.5074707100753
15,3746.606278603976
16,2797.144303933015
17,2655.9056733856837
18,2955.01177223429
19,2600.8442661231234
20,3767.4761348370953
21,2471.813618471653
22,3943.9663609039026
23,2433.934398498273
24,4081.1712100507534
25,3738.3846013115526
26,5503.365201985145
27,4056.5580169790624
28,5011.672157060232
29,3395.605264438935
30,3733.1325086183124
31,3367.260524460573
32,3430.75769730779
33,5870.07289055714
34,3682.188950644897
35,3058.799330508908
36,5746.990100840492
37,3460.205120632829
38,2298.6546554073375
39,3005.4016304388365
40,3345.337280065175
41,3806.264954997355
42,4675.874442023119
43,2851.0203436013285
44,4904.01794822101
45,1716.9370068999992
46,2040.8227796978074
47,3522.3716358880683
48,2020.4624539971487
49,2974.768520631254
50,1715.5185216430598
51,3920.6696325330886
52,3157.1037753783144
53,2523.3918701608263
54,1704.413599569004
55,3543.128349897764
56,4135.287458922344
57,2296.3864938300517
58,3848.4654903647747
59,3501.553952116571
60,2576.6835509567286
61,2323.973539357276
62,1624.3842010123692
63,3720.140007336394
64,3917.303489348506
65,3420.0371584982768
66,3087.5673028127217
67,2791.0889561465365
68,4638.961191389444
69,2916.7042426174694
70,3524.787392668243
71,3519.638927500413
72,3704.8698759647045
73,2934.335993490565
74,3611.900726034124
75,4245.599815507836
76,2693.6423043840523
77,1925.4039950602455
78,4494.623675344529
79,1458.0810688791585
80,2351.9610941371675
81,3202.3962018569528
82,3573.9234310956226
83,2884.725292897822
84,3660.8814359664298
85,3291.425160608681
86,2774.751067756029
87,2963.1212533581484
88,3391.004393549656
89,2347.0666611163124
90,3314.6070757878615
91,4045.932875505433
92,3643.6221508782637
93,3922.629205104733
94,3665.2683302603527
95,2257.298270124101
96,3262.539434436238
97,1808.093538418006
98,2505.5661994847474
99,5237.367092285648
100,3287.8615206380446
101,3340.3522958443277
102,2431.713872864339
103,4005.462230423563
104,5705.851033395037
105,2219.450766402841
106,3293.6795526177843
107,3464.78261131652
108,3756.4632140987205
109,3631.898466475211
110,4758.933751014365
